,weighted_degree,betweenness,eigenvector,clustering
104,16.903168752820346,0.08290304073436602,0.27124079697877385,0.19775531727077075
114,15.838736197042213,0.112736660929432,0.23542163612691316,0.1597429066522643
49,14.94370228886105,0.07142857142857142,0.23682843334425874,0.19350204809877175
81,14.321831841692989,0.04130808950086058,0.2459835434636064,0.20376383089138572
61,14.30091491233139,0.053069420539300055,0.2292478913342467,0.1550011351740498
90,13.36335306063681,0.0633964429145152,0.17000384575732147,0.16792557752309542
67,13.152469219633655,0.020940906483075155,0.2160288962785387,0.21869903220780712
110,11.667536244118168,0.032415375788869764,0.195814839106199,0.2276932387342053
95,11.396010639094113,0.04245553643144004,0.15680272741228896,0.17085952787975464
70,11.051643047776153,0.043029259896729774,0.16388617398239086,0.16642334098443862
57,11.039046845790919,0.032702237521514625,0.14139332513809155,0.18977155589286618
55,10.883903253111775,0.040447504302925985,0.17107345431280496,0.18077148102374624
38,10.6575736004334,0.01721170395869191,0.17546853755986175,0.23868741772878657
83,10.267076458080863,0.03155479059093517,0.13239198750568953,0.16458254704525893
53,9.03660832033685,0.02897303499713138,0.12070949775750758,0.15375278204858717
50,8.839578216513074,0.01950659781985083,0.12097442391365959,0.2347656684657542
32,8.625675054543237,0.012621916236374067,0.1004170859285585,0.1900253372722005
97,8.550637453537947,0.011474469305794606,0.1479321246869025,0.22443131572620684
13,8.408306154021481,0.011187607573149742,0.1410331853020127,0.2393483155756816
105,8.131609030683334,0.013195639701663797,0.14037877700562776,0.25533576742778336
19,8.080168831128196,0.019219736087205966,0.10533330842773482,0.21422665177183192
37,7.97949649492395,0.014629948364888123,0.0954664189365291,0.1861640783095577
21,7.61655941898517,0.012335054503729202,0.12194336687644684,0.24932797186677433
35,7.306946612164928,0.01950659781985083,0.1080509139542448,0.22610145886297736
86,7.174935522900743,0.006310958118187033,0.1526418907577637,0.31305462566994335
66,6.988871791306779,0.018932874354561098,0.1092720247334319,0.2124202538856175
121,6.735665915250048,0.018072289156626505,0.07454813747913867,0.1772623723565426
74,6.73130841441505,0.001721170395869191,0.10589127485559756,0.2687521131572681
54,6.707462493633299,0.008605851979345954,0.11160886147816661,0.1760327538219253
41,6.705054854041182,0.022088353413654616,0.08036001407933348,0.19347894222523757
99,6.365229593743798,0.005450372920252438,0.08262321877182788,0.25870758862700904
80,6.318162304491306,0.009753298909925415,0.09551688540017118,0.17739313799699194
93,6.304402609440538,0.007171543316121629,0.08282302331709225,0.1351738838667882
43,6.030084142478066,0.010040160642570281,0.08338559008873687,0.14440638541795134
24,5.967360821371467,0.008318990246701088,0.09255707367529094,0.2292271686201393
94,5.814212099331006,0.008605851979345954,0.10820430360746265,0.312838712205467
18,5.662062400683681,0.008032128514056224,0.09099124600955119,0.25324641182432195
113,5.654299972035603,0.005450372920252438,0.06344636484569517,0.2425243637486877
64,5.546351983819237,0.001721170395869191,0.09650791676719535,0.2912643256211915
52,5.372602569724189,0.0048766494549627075,0.06481622182328055,0.19818116681423295
16,5.346479849959806,0.0048766494549627075,0.0884704012282765,0.23297569560776119
45,5.309733567508068,0.0048766494549627075,0.07161203965796914,0.215715707541719
85,5.287873315917368,0.007458405048766494,0.08324980510220102,0.25523355733247993
92,5.236857366565762,0.003729202524383247,0.09299360752726614,0.4167169479036913
29,5.217258295902161,0.002008032128514056,0.08524100555494821,0.23041415506106872
106,5.130372610457429,0.0048766494549627075,0.07516425877712159,0.1801914265664556
118,4.807217478138259,0.003729202524383247,0.07173181129399836,0.18328171759232134
14,4.807015376285717,0.004016064257028112,0.055745211566908835,0.2140343476412767
56,4.765370557210923,0.004589787722317842,0.04294073615345369,0.12784789888376757
72,4.7336906109268515,0.00028686173264486515,0.06917513706506996,0.21546054232166334
46,4.730718687801526,0.0,0.07524604168943629,0.2552692161841603
12,4.681216415968486,0.0005737234652897303,0.07849090060427656,0.3887406771031446
103,4.659615154520996,0.0014343086632243257,0.06435248555299064,0.2681648348638828
17,4.502247610240967,0.0028686173264486515,0.04258622554630542,0.17859263794337946
91,4.429863893072168,0.0011474469305794606,0.07152542941405164,0.22496444487857717
11,4.421254982243111,0.0011474469305794606,0.07244512881129603,0.3171445031329795
84,4.388089120294381,0.002294893861158921,0.06674760255006965,0.2086418949947706
59,4.308240484004256,0.002008032128514056,0.06581507989861296,0.20435104781786098
48,4.181865586749148,0.004302925989672977,0.048018741687469724,0.12129502868331074
62,4.1791386670401085,0.001721170395869191,0.058440395895950355,0.2126209109611434
82,4.161338532728888,0.0025817555938037863,0.04133352678797096,0.200056499830378
